experiment_name,fn,fnr,fp,fpr,has_ocr,image_label,input_mode,mm_label,model,negative_support,positive_support,seed,source,split,support,text_label
ocr/dt4mid-caption-ocr,0,,4,0.6666666666666666,True,0,caption_ocr,0,dt4mid-phobert,6,0,2026,facebook,test,6,1
ocr/dt4mid-caption-ocr,0,0.0,0,,False,1,caption_ocr,1,dt4mid-phobert,0,3,2026,facebook,test,3,1
ocr/dt4mid-caption-ocr,0,,1,0.25,False,0,caption_ocr,0,dt4mid-phobert,4,0,2026,threads,test,4,1
ocr/dt4mid-caption-ocr,0,,0,0.0,False,0,caption_ocr,0,dt4mid-phobert,1,0,2026,facebook,test,1,1
ocr/dt4mid-caption-ocr,0,,48,0.7058823529411765,True,0,caption_ocr,0,dt4mid-phobert,68,0,42,facebook,test,68,0
ocr/dt4mid-caption-ocr,13,0.7222222222222222,0,,False,0,caption_ocr,1,dt4mid-phobert,0,18,42,threads,test,18,1
ocr/dt4mid-caption-ocr,1,0.019230769230769232,0,,True,1,caption_ocr,1,dt4mid-phobert,0,52,42,facebook,test,52,0
ocr/dt4mid-caption-ocr,0,,56,0.32558139534883723,True,0,caption_ocr,0,dt4mid-phobert,172,0,42,threads,test,172,0
ocr/dt4mid-caption-ocr,0,,16,0.13114754098360656,False,0,caption_ocr,0,dt4mid-phobert,122,0,42,threads,test,122,0
ocr/dt4mid-caption-ocr,0,,15,0.9375,False,0,caption_ocr,0,dt4mid-phobert,16,0,42,facebook,test,16,0
ocr/dt4mid-caption-ocr,0,0.0,0,,True,1,caption_ocr,1,dt4mid-phobert,0,3,42,facebook,test,3,1
ocr/dt4mid-caption-ocr,7,0.13725490196078433,0,,True,0,caption_ocr,1,dt4mid-phobert,0,51,42,facebook,test,51,0
ocr/dt4mid-caption-ocr,1,0.02040816326530612,0,,False,0,caption_ocr,1,dt4mid-phobert,0,49,42,facebook,test,49,0
ocr/dt4mid-caption-ocr,21,0.525,0,,True,0,caption_ocr,1,dt4mid-phobert,0,40,42,threads,test,40,0
ocr/dt4mid-caption-ocr,15,0.45454545454545453,0,,True,0,caption_ocr,1,dt4mid-phobert,0,33,42,threads,test,33,1
ocr/dt4mid-caption-ocr,0,,3,1.0,True,1,caption_ocr,0,dt4mid-phobert,3,0,42,threads,test,3,0
ocr/dt4mid-caption-ocr,16,0.8,0,,False,0,caption_ocr,1,dt4mid-phobert,0,20,42,threads,test,20,0
